Obj61: "Parent	KeeperAgent 		Keeper 3	MeshTex:texture in model	Keep01.gif	MeshTex:replace with	keep01d.png	102														
Obj62: "Parent	KeeperAgent 		Keeper 4	MeshTex:texture in model	Keep01.gif	MeshTex:replace with	keep01e.png	103														
Obj63: "Parent	KeeperAgent 		Keeper 5	MeshTex:texture in model	Keep01.gif	MeshTex:replace with	keep01f.png	104														
Obj64: "Parent	KeeperAgent 	KEEPER END	Keeper Grey	MeshTex:texture in model	Keep01.gif	MeshTex:replace with	keep01g.png	105														
																						
Obj65: "Parent	Cops	COPS	City Watch	ModelName	cw01																	
Obj66: "Parent	City Watch		City Watch 2	MeshTex:texture in model	police01.gif	MeshTex:replace with	cw02.png	ModelName	cop01													
Obj67: "Parent	City Watch		City Watch 3	MeshTex:texture in model	police02.gif	MeshTex:replace with	cw03.png	ModelName	cop02													
Obj68: "Parent	City Watch		City Watch 4	ModelName	cw04																	
Obj69: "Parent	SheriffsBowman		City Watch Archer	MeshTex:texture in model	policA01.gif	MeshTex:replace with	cwarc01.png															
Obj70: "Parent	City Watch Archer		City Watch Archer2	MeshTex:texture in model	policA01.gif	MeshTex:replace with	cwarc02.png															
Obj71: "Parent	City Watch	NewCityWatchPack	City Watch 5	ModelName	NuWat1	 	 	662														
Obj72: "Parent	City Watch		City Watch 6	ModelName	NuWat2	 	 	663														
Obj73: "Parent	City Watch		City Watch 7	ModelName	NuWat3	 	 	664														
Obj74: "Parent	City Watch		City Watch 8	ModelName	NuWat4	 	 	665														
Obj75: "Parent	City Watch Archer		CityWatchArchFem	ModelName	NuWarcW1	 	 	666														
Obj76: "Parent	CityWatchArchFem		CityWatchArchFem2	ModelName	NuWarcW2	 	 	667														
Obj77: "Parent	City Watch		CityWatchFem	ModelName	NuWatW1	SpchVoice	vcop6	668														
Obj78: "Parent	CityWatchFem		CityWatchFem2	ModelName	NuWatW2	 	 	669														
Obj79: "Parent	City Watch Archer		City Watch Archer 3	ModelName	NuWarcM1	 	 	670														
Obj80: "Parent	City Watch Archer	NewCityEnd	City Watch Archer 4	ModelName	NuWarcM2	 	 	671														
Obj81: "Parent	SheriffsGuard		SheriffsGuardBlack	MeshTex:texture in model	police01.gif	MeshTex:replace with	police06.png															
Obj82: "Parent	SheriffsGuardBlack		SheriffsGuardBlack 2	MeshTex:texture in model	Spolic01.gif	MeshTex:replace with	police09.png															
Obj83: "Parent	SheriffsGuard2		SheriffsGuardBlack 3	MeshTex:texture in model	police02.gif	MeshTex:replace with	police07.png															
Obj84: "Parent	SheriffsGuardBlack 3		SheriffsGuardBlack 4	MeshTex:texture in model	police02.gif	MeshTex:replace with	police08.png															
Obj85: "Parent	SheriffsBowman 		SheriffsBowman 2	MeshTex:texture in model	policA01.gif	MeshTex:replace with	polica02.png	127	 													
Obj86: "Parent	SheriffsGuard2 		SheriffsGuard 4	MeshTex:texture in model	police02.gif	MeshTex:replace with	police04.png	130														
Obj87: "Parent	SheriffsGuard 		SheriffsGuard 5	MeshTex:texture in model	police01.gif	MeshTex:replace with	police05.png	131														
Obj88: "Parent	SheriffsGuard2 		SheriffsGuard 7	MeshTex:texture in model	police02.gif	MeshTex:replace with	npolice07.png	132														
Obj89: "Parent	SheriffsGuard 		SheriffsGuard 8	MeshTex:texture in model	police01.gif	MeshTex:replace with	npolice08.png	133														
Obj90: "Parent	SheriffsGuard 		SheriffsGuard 9	MeshTex:texture in model	police01.gif	MeshTex:replace with	npolice09.png	134														
Obj91: "Parent	SheriffsGuard 		SheriffsGuard 10	MeshTex:texture in model	police01.gif	MeshTex:replace with	police10.png	135														
Obj92: "Parent	SheriffsGuard2 		SheriffsGuard 11	MeshTex:texture in model	police02.gif	MeshTex:replace with	police11.png	136														
Obj93: "Parent	SheriffsArchFem 		SheriffsArchFem 2	MeshTex:texture in model	policW02.gif	MeshTex:replace with	npolice06.png	137														
Obj94: "Parent	SheriffGuardFem 		SheriffGuardFem 3	MeshTex:texture in model	policw01.gif	MeshTex:replace with	policw03.png	141														
Obj95: "Parent	SheriffGuardFem 	COPS END	SheriffGuardFem 5	MeshTex:texture in model	policw01.gif	MeshTex:replace with	policw05.png	142														
																						
Obj100: "Parent	MechArcherFem 	MECHANISTS	MechArcherFem 2	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	crosbwm2.png	148														
Obj101: "Parent	MechArchSub 		MechArchSub 2	MeshTex:texture in model	DivSol02.gif	MeshTex:replace with	crosbwm1.png	150														
Obj102: "Parent	MechArchSub 		MechArchSub 3	MeshTex:texture in model	DivSol02.gif	MeshTex:replace with	crosbwm3.png	152														
Obj103: "Parent	MechArchSub 		MechArchSub 4	MeshTex:texture in model	DivSol02.gif	MeshTex:replace with	crosbwm4.png	154														
Obj104: "Parent	MechArchSub 		MechArchSub 5	MeshTex:texture in model	DivSol02.gif	MeshTex:replace with	crosbwm5.png	156														
Obj105: "Parent	MechArcherFem 		MechArcherFemB 1	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	crossbf1.png	160														
Obj106: "Parent	MechArcherFem 		MechArcherFemB 2	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	crossbf2.png	162														
Obj107: "Parent	MechArcherFem 		MechArcherFemB 3	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	crossbf3.png	164														
Obj108: "Parent	MechArcherFem 		MechArcherFemB 4	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	crossbf4.png	190														
Obj109: "Parent	MechArcherFem 		MechArcherFemB 5	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	crossbf5.png	193														
Obj110: "Parent	MechArcherFem 		MechArcherFemB 6	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	crossbf6.png	195														
Obj111: "Parent	MechArcherFem 		MechArcherFemC 1 	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	mcwgun4.png	216														
Obj112: "Parent	MechArcherFem 	SKipp??	MechArcherFemC 2	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	mcwgun5.png	218														
Obj113: "Parent	MechArcherFem 		MechArcherFemC 3 	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	mcwgun6.png	220														
Obj114: "Parent	MechMaceFem 		MechMaceFem 2	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	ftroop02.png	166														
Obj115: "Parent	MechMaceFem 		MechMaceFem 3	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	ftroop03.png	167														
Obj116: "Parent	MechMaceFem 		MechMaceFem 4	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	ftroop04.png	210														
Obj117: "Parent	MechMaceFem 		MechMaceFem 6	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	ftroop06.png	168														
Obj118: "Parent	MechMaceFem 		MechMaceFem 8	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	ftroop08.png	211														
Obj119: "Parent	MechMaceFem 		MechMaceFem 10	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	ftroop10.png	169														
Obj120: "Parent	MechMaceFem 		MechSubMaceFem	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	divw01.png	InvRendType:Type	2	InvRendType:Resource	cmecsub											
Obj121: "Parent	MechSubMaceFem		MechSubMaceFem 2	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	divw1a.png	208														
Obj122: "Parent	MechSubMaceFem		MechSubMaceFem 3	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	divw3a.png	209														
Obj123: "Parent	MechSword 		MechSword 3	ModelName	SwordM3			170														
Obj124: "Parent	bow man 		MechBow	ModelName	mecbow			172														
Obj125: "Parent	MechBow		MechBow 2	ModelName	mecbw2			285														
Obj126: "Parent	MechSword 		MechSword 2	ModelName	SwordM1			175														
Obj127: "SKIP	MechSword 		MechSword 3	ModelName	SwordM2			176														
Obj128: "Parent	MechMaskGuard 	Standard Replacement SKIPED	MechMaskGuard 2	MeshTex:texture in model	soldC01.gif	MeshTex:replace with	soldc01.png	177														
Obj129: "Parent	Mech_guard 		Mech Guard 12	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop01.png	178														
Obj130: "Parent	Mech_guard 		Mech Guard 2	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop02.png	179														
Obj131: "Parent	Mech_guard 		Mech Guard 3	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop03.png	180														
Obj132: "Parent	Mech_guard 		Mech Guard 4	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop04.png	181														
Obj133: "Parent	Mech_guard 		Mech Guard 5	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop05.png	182														
Obj134: "Parent	Mech_guard 		Mech Guard 6	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop06.png	183														
Obj135: "Parent	Mech_guard 		Mech Guard 7	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop07.png	184														
Obj136: "Parent	Mech_guard 		Mech Guard 8	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop08.png	185														
Obj137: "Parent	Mech_guard 		Mech Guard 9	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop09.png	186														
Obj138: "Parent	Mech_guard 		Mech Guard 10	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop10.png	187														
Obj139: "Parent	Mech_guard 		Mech Guard 11	MeshTex:texture in model	soldG01.gif	MeshTex:replace with	troop11.png	188														
Obj140: "Parent	MechArchFrogman 		MechArchFrogwoman 	ModelName	blkwoman	SpchVoice	vmechfems	197														
Obj141: "Parent	MechArchFrogman 		MechArchFrogwoman 2	ModelName	SubWoman	SpchVoice	vmechfems	199														
Obj142: "Parent	MechArcherFem 		MechArchSubFem	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	mcwgun1.png	201														
Obj143: "Parent	MechArchSubFem		MechArchSubFem 2	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	mcwgun2.png	212														
Obj144: "Parent	MechArchSubFem		MechArchSubFem 3	MeshTex:texture in model	soldGW02.gif	MeshTex:replace with	mcwgun3.png	214														
Obj145: "Parent	MechSubMace 		MechSubMace 2	MeshTex:texture in model	divsol01.gif	MeshTex:replace with	divsol02.png	203														
Obj146: "Parent	MechSubMace 		MechSubMace 4	MeshTex:texture in model	divsol01.gif	MeshTex:replace with	divsol04.png	205														
Obj147: "Parent	MechSubMace 		MechSubMace 7	MeshTex:texture in model	divsol01.gif	MeshTex:replace with	divsol07.png	206														
Obj148: "Parent	MechSubMace 		MechSubMace 3	MeshTex:texture in model	soldG02.gif	MeshTex:replace with	mech_m2.png	ModelName	MecSlM02													
Obj149: "Parent	MechSubMace 3		MechSubMace 5	MeshTex:texture in model	soldG02.gif	MeshTex:replace with	mech_m1.png	224														
Obj150: "Parent	MechMaceFem 		MechSubMaceFem 	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	mech_w1.png	InvRendType:Type	2	InvRendType:Resource	cmecsub											
Obj151: "Parent	MechSubMaceFem 		MechSubMaceFem 3	MeshTex:texture in model	soldGW01.gif	MeshTex:replace with	mech_w3.png	225														
Obj152: "Parent	Mech_worker 		Mech Worker 2	MeshTex:texture in model	worker.gif	MeshTex:replace with	workm1.png	173														
Obj153: "Parent	Mech_worker_2 		Mech Worker 3	MeshTex:texture in model	worker02.gif	MeshTex:replace with	worker03.png	227														
Obj154: "Parent	Mech_worker 		Mech Worker 7	MeshTex:texture in model	worker.gif	MeshTex:replace with	workm2.png	228														
Obj155: "Parent	Mech_worker 		Mech Worker 8	MeshTex:texture in model	worker.gif	MeshTex:replace with	workm3.png	229														
Obj156: "Parent	Mech_worker_2 		Mech Worker 9	MeshTex:texture in model	worker02.gif	MeshTex:replace with	worker01.png	230														
Obj157: "Parent	Mech_worker_2 		Mech Worker 4	MeshTex:texture in model	worker02.gif	MeshTex:replace with	worker04.png	231														
Obj158: "Parent	Mech_worker_2 		Mech Worker 5	MeshTex:texture in model	worker02.gif	MeshTex:replace with	worker05.png	232														
Obj159: "Parent	Mech_worker_2 		Mech Worker 6	MeshTex:texture in model	worker02.gif	MeshTex:replace with	worker06.png	233														
Obj160: "Parent	Mech_worker_2 		Mech Worker 6b	MeshTex:texture in model	worker02.gif	MeshTex:replace with	worker060.png	234														
Obj161: "Parent	CombatBotCorpse 		BronzCombatBotCorpse	ModelName	Bronzbotd			235														
Obj162: "Parent	CombatBot 		BronzCombatBot	ModelName	Bronzbot	Link:Corpse:BronzCombatBotCorpse		236														
Obj163: "Parent	CombatBotCorpse 		GoldCombatBotCorpse	ModelName	ComBotD			240														
Obj164: "Parent	CombatBot 		GoldCombatBot	ModelName	Combot	Link:Corpse:GoldCombatBotCorpse		241														
Obj165: "Parent	CombatBotCorpse 		HumanCombatBotCorpse	ModelName	dirtbotd			252														
Obj166: "Parent	CombatBot 		HumanCombatBot	ModelName	dirtbot	Link:Corpse:HumanCombatBotCorpse		253														
Obj167: "Parent	MechCherub 		MechCherub 2	ModelName	mechchild2			257														
Obj168: "Parent	Mech_Novice 		Mech_Novice7	ModelName	malenv01			258														
Obj169: "Parent	Mech_Novice 		Mech_Novice2	ModelName	malenv02			259														
Obj170: "Parent	Mech_Novice 		Mech_Novice3	ModelName	malenv03			260														
Obj171: "Parent	Mech_Novice 		Mech_Novice4	ModelName	malenv04			261														
Obj172: "Parent	Mech_Novice 		Mech_Novice5	ModelName	malenv05			262														
Obj173: "Parent	Mech_Novice 		Mech_Novice6	ModelName	malenv06			263														
Obj174: "Parent	Mech_Priestess 		Mech_Priestess 4	MeshTex:texture in model	MecPrW02.gif	MeshTex:replace with	mechfm01.png	264														
Obj175: "Parent	Mech_Priestess 		Mech_Priestess 2	MeshTex:texture in model	MecPrW02.gif	MeshTex:replace with	mechfm02.png	271														
Obj176: "Parent	Mech_Priestess 		Mech_Priestess 3	MeshTex:texture in model	MecPrW02.gif	MeshTex:replace with	mechfm03.png	278														
Obj177: "Parent	Mech_Priest 		Mech_Priest 3	MeshTex:texture in model	MecPrs01.gif	MeshTex:replace with	mechmp01.png	286														
Obj178: "Parent	Mech_Priest 		Mech_Priest 2	MeshTex:texture in model	MecPrs01.gif	MeshTex:replace with	mechmp02.png	294														
Obj179: "Parent	Mech_Novice 		Mech_NoviceFem	MeshTex:texture in model	FemSEV02.gif	MeshTex:replace with	novfem01.png	ModelName	womsev02	SpchVoice	vserv2											
Obj180: "Parent	Mech_NoviceFem	MECHANISTS END	Mech_NoviceFem 2	MeshTex:texture in model	FemSEV02.gif	MeshTex:replace with	novfem02.png	317														
													 									
Obj181: "Parent	Mech_guard	DarkMechanists	DarkMechGuard	ModelName	Drksol01		 	 	 	 	 	 	 									
Obj182: "Parent	DarkMechGuard		DarkMechGuard2	ModelName	Drksol02	 	 	639	 	 	 	 	 									
Obj183: "Parent	DarkMechGuard		DarkMechGuard3	ModelName	Drksol03	 	 	640	 	 	 	 	 									
Obj184: "Parent	DarkMechGuard		DarkMechGuard4	ModelName	Drksol04	 	 	641	 	 	 	 	 									
Obj185: "Parent	DarkMechGuard		DarkMechGuard5	ModelName	Drksol05	 	 	642	 	 	 	 	 									
Obj186: "Parent	DarkC01 		DarkMechMaskGuard	ModelName	DarkC01	SpchVoice	vslave	643	 	 	 	 	 									
Obj187: "Parent	Mech_Priest		DarkMechPriest	ModelName	Drkprs01	 	 	644	 	 	 	 	 									
Obj188: "Parent	DarkMechPriest		DarkMechPriest2	ModelName	Drkprs02	 	 	645	 	 	 	 	 									
Obj189: "Parent	Mech_Priestess		DarkMechPriestess	ModelName	DrmecPrW01	 	 	646	 	 	 	 	 									
Obj190: "Parent	DarkMechPriestess		DarkMechPriestess2	ModelName	DrmecPrW02	 	 	647	 	 	 	 	 									
Obj191: "Parent	MechSword		DarkMechSword	ModelName	DrkSw01	 	 	648	 	 	 	 	 									
Obj192: "Parent	DarkMechSword		DarkMechSword2	ModelName	DrkSw02	 	 	649	 	 	 	 	 									
Obj193: "Parent	MechMaceFem		DarkMechMaceFem	ModelName	DarkMW01	 	 	650	 	 	 	 	 									
Obj194: "Parent	DarkMechMaceFem		DarkMechMaceFem2	ModelName	DarkMW02	 	 	651	 	 	 	 	 									
Obj195: "Parent	DarkMechMaceFem		DarkMechMaceFem3	ModelName	DarkMW03	 	 	653	 	 	 	 	 									
Obj196: "Parent	MechArcherFem		DarkMechArcherFem	ModelName	DrmecBW02	 	 	652	 	 	 	 	 									
Obj197: "Parent	DarkMechArcherFem		DarkMechArcherFem2	ModelName	DrmecBW03	 	 	654	 	 	 	 	 									
Obj198: "Parent	MechSword	Might need finetune	DarkMechSwordFem	ModelName	DrkSf01	SpchVoice	vmechfems	InvRendType:Resource	cmecsol	 	 	 	 									
Obj199: "Parent	DarkMechSwordFem	Might need finetune	DarkMechSwordFem2	ModelName	DrkSf02	 	 	656	 	 	 	 	 									
Obj200: "Parent	Mech_Novice		DarkMechNovice	ModelName	DarkNV01	 	 	657	 	 	 	 	 									
Obj201: "Parent	DarkMechNovice		DarkMechNovice2	ModelName	DarkNV02	 	 	658	 	 	 	 	 									
Obj202: "Parent	DarkMechNovice		DarkMechNovice3	ModelName	DarkNV03	 	 	659	 	 	 	 	 									
Obj203: "Parent	DarkMechNovice	DarkMechEnd	DarkMechNovice4	ModelName	DarkNV04	 	 	660	 	 	 	 										
																						
Obj205: "Parent	ThiefUnarmed 	THIEFS	ThiefBlack	MeshTex:texture in model	ThifM01.gif	MeshTex:replace with	chiefthief.png			327												
Obj206: "Parent	ThiefUnarmed 		ThiefUnarmedHood	MeshTex:texture in model	gar01.gif	MeshTex:replace with	ndgar01.png	ModelName	garrett													
Obj207: "Parent	ThiefUnarmed 		ThiefOld	MeshTex:texture in model	ThifM01.gif	MeshTex:replace with	oldthief.png			329												
Obj208: "Parent	ThiefUnarmed 		ThiefBlack2	MeshTex:texture in model	ThifM01.gif	MeshTex:replace with	prison10.png			330												
Obj209: "Parent	ThiefMale 		ThiefMale6	MeshTex:texture in model	ThiefS01.gif	MeshTex:replace with	thief01.png			331												
Obj210: "Parent	ThiefMale 		ThiefMale2	MeshTex:texture in model	ThiefS01.gif	MeshTex:replace with	thief02.png			332												
Obj211: "Parent	ThiefMale 		ThiefMale3	MeshTex:texture in model	ThiefS01.gif	MeshTex:replace with	thief03.png			333												
Obj212: "Parent	ThiefMale 		ThiefMale4	MeshTex:texture in model	ThiefS01.gif	MeshTex:replace with	thief04.png			334												
Obj213: "Parent	ThiefMale 		ThiefMale5	MeshTex:texture in model	ThiefS01.gif	MeshTex:replace with	thief05.png			335												
Obj214: "Parent	ThiefFemale 		ThiefFemale2	MeshTex:texture in model	ThiefW01.gif	MeshTex:replace with	thiefw04.png			336												
Obj215: "Parent	ThiefFemale 		ThiefFemale3	MeshTex:texture in model	ThiefW01.gif	MeshTex:replace with	thiefw05.png			337												
Obj216: "Parent	ThiefMale 		ThiefFemale4b	MeshTex:texture in model	polmosd.gif	MeshTex:replace with	thiefw04.png			338												
Obj217: "Parent	ThiefMale 		ThiefFemale5b	MeshTex:texture in model	polmosd.gif	MeshTex:replace with	thiefw05.png			339												
Obj218: "Parent	ThiefMale 		ThiefFemaleB1	MeshTex:texture in model	polmosd.gif	MeshTex:replace with	thiefw11.png			340												
Obj219: "Parent	ThiefMale 		ThiefFemaleB2	MeshTex:texture in model	polmosd.gif	MeshTex:replace with	thiefw12.png			341												
Obj220: "Parent	ThiefMale 		ThiefFemaleB3	MeshTex:texture in model	polmosd.gif	MeshTex:replace with	thiefw13.png			342												
Obj221: "Parent	ThiefMale 		ThiefFemaleB4	MeshTex:texture in model	polmosd.gif	MeshTex:replace with	thiefw14.png			343												
Obj222: "Parent	ThiefMale 		ThiefFemaleB5	MeshTex:texture in model	polmosd.gif	MeshTex:replace with	thiefw15.png			344												
Obj223: "Parent	ThiefFemale 		ThiefFemaleKO	MeshTex:texture in model	ThiefW01.gif	MeshTex:replace with	kowoman.png			346												
Obj224: "Parent	ThiefUnarmed 		ThiefGreen	MeshTex:texture in model	ThifM01.gif	MeshTex:replace with	thifm04.png			347												
Obj225: "Parent	ThiefUnarmedHood		ThiefUnarmedHood2	MeshTex:texture in model	gar01.gif	MeshTex:replace with	unthief01.png			348												
Obj226: "Parent	ThiefUnarmedHood		ThiefUnarmedHood3	MeshTex:texture in model	gar01.gif	MeshTex:replace with	unthief02.png			349												
Obj227: "Parent	ThiefUnarmedHood	Thiefs End	ThiefUnarmedHood4	MeshTex:texture in model	gar01.gif	MeshTex:replace with	unthief03.png			350												
																						
Obj230: "Parent	sword guard 	PAGAN ARMY	PaganGuard	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	nwspag01.png	 	 	356	 	 										
Obj231: "Parent	PaganGuard		PaganGuard2	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	nwspag02.png	 	 	357	 	 										
Obj232: "Parent	PaganGuard		PaganGuard3	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	nwspag03.png	 	 	358	 	 										
Obj233: "Parent	PaganGuard		PaganGuard4	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	nwspag04.png	 	 	359	 	 										
Obj234: "Parent	PaganGuard	DedX	SwordGuardRedFemX 	ModelName	arhswd02	SpchVoice	vguard6	InvRendType:Resource	carcher1		 	 										
Obj235: "Parent	SwordGuardRedFemX 	Not working for me	PaganGuardFem	MeshTex:texture in model	ArcSWd02.gif	MeshTex:replace with	wspag01.png	 	 	361												
Obj236: "Parent	PaganGuardFem	Not working for me	PaganGuardFem2	MeshTex:texture in model	ArcSWd02.gif	MeshTex:replace with	wspag02.png	 	 	362	 	 										
Obj237: "Parent	PaganGuardFem	Not working for me	PaganGuardFem3	MeshTex:texture in model	ArcSWd02.gif	MeshTex:replace with	wspag03.png	 	 	363	 	 										
Obj238: "Parent	PaganGuardFem	Not working for me	PaganGuardFem4	MeshTex:texture in model	ArcSWd02.gif	MeshTex:replace with	wspag04.png	 	 	364	 	 										
Obj239: "Parent	PaganGuardFem	Not working for me	PaganGuardFem5	MeshTex:texture in model	ArcSWd02.gif	MeshTex:replace with	wspag05.png	 	 	365	 	 										
Obj240: "Parent	PaganGuardFem	Not working for me	PaganGuardFem6	MeshTex:texture in model	ArcSWd02.gif	MeshTex:replace with	wspag06.png	 	 	366	 	 										
Obj241: "Parent	bow man 		PaganArcher	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	nwapag01.png	 	 	379	 	 										
Obj242: "Parent	PaganArcher		PaganArcher2	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	nwapag02.png	 	 	381	 	 										
Obj243: "Parent	PaganArcher		PaganArcher3	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	nwapag03.png	 	 	383	 	 										
Obj244: "Parent	PaganArcher		PaganArcher4	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	nwapag04.png	 	 	385	 	 										
Obj245: "Parent	PaganArcher		ForestArcher1	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	forarc01.png	 	 	367	 	 										
Obj246: "Parent	PaganArcher		ForestArcher2	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	forarc02.png	 	 	368	 	 										
Obj247: "Parent	PaganArcher		ForestArcher3	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	forarc03.png	 	 	370	 	 										
Obj248: "Parent	PaganArcher		ForestArcher4	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	forarc04.png	 	 	371	 	 										
Obj249: "Parent	PaganArcher		ForestArcher5	MeshTex:texture in model	Archer01.gif	MeshTex:replace with	forarc05.png	 	 	377	 	 										
Obj250: "Parent	PaganGuard		ForestGuard1	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	forswd01.png	 	 	355	 	 										
Obj251: "Parent	PaganGuard		ForestGuard2	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	forswd02.png	 	 	372	 	 										
Obj252: "Parent	PaganGuard		ForestGuard3	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	forswd03.png	 	 	373	 	 										
Obj253: "Parent	PaganGuard		ForestGuard4	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	forswd04.png	 	 	374	 	 										
Obj254: "Parent	PaganGuard	PAGAN ARMY END	ForestGuard5	MeshTex:texture in model	SwGard01.gif	MeshTex:replace with	forswd05.png	 	 	375	 	 										
																						
Obj255: "Parent	human	MAGES	MageTypesX	AI:Behavior set	Human spellcaster	Scripts:Script 0	AttackActivate	Link:~ParticleAttachement:-3075	Type:#2:joint:#10	Link:~ParticleAttachement:-3076	Type:#2:joint:#10	SpchVoice	vmage	AIRCProp	{Minimum Distance:#10:Ideal Distance:#25:Firing Delay:#3:Cover Desire:#4:Decay Speed:.0.01:Fire While Moving:#5}	MAX_HP	#15	HitPoints	#15"			
Obj256: "Parent	MageTypesX	Add KOGas abort if you want	AirMage	ModelName	amage	EdComment	No AIProjectile - maybe you want to add KOGasStim Abort															
Obj257: "Parent	AirMage		AirMage2	ModelName	amage2		 	 	 	390	 	 	 	 	 	 	 	 	 	 	 	 
Obj258: "Parent	AirMage		AirMage3	ModelName	amage3		 	 	 	391	 	 	 	 	 	 	 	 	 	 	 	 
Obj259: "Parent	AirMage		AirMage4	ModelName	amage4		 	 	 	392	 	 	 	 	 	 	 	 	 	 	 	 
Obj260: "Parent	AirMage		AirMage5	ModelName	spemage		 	 	 	435	 	 	 	 	 	 	 	 	 	 	 	 
Obj261: "Parent	AirMage		AirMageNovice	ModelName	nadept		 	 	 	393	 	 	 	 	 	 	 	 	 	 	 	 
Obj262: "Parent	MageTypesX		EarthMage	ModelName	emage		 	 	 	394	 	 	 	 	 	 	 	 	 	 	 	 
Obj263: "Parent	EarthMage		EarthMage2	ModelName	emage2		 	 	 	396	 	 	 	 	 	 	 	 	 	 	 	 
Obj264: "Parent	EarthMage		EarthMage3	ModelName	emage3		 	 	 	397	 	 	 	 	 	 	 	 	 	 	 	 
Obj265: "Parent	EarthMage		EarthMage4	ModelName	emage4		 	 	 	398	 	 	 	 	 	 	 	 	 	 	 	 
Obj266: "Parent	EarthMage		EarthMage5	ModelName	spemage3		 	 	 	432	 	 	 	 	 	 	 	 	 	 	 	 
Obj267: "Parent	EarthMage		EarthMageNovice	ModelName	neadept		 	 	 	399	 	 	 	 	 	 	 	 	 	 	 	 
Obj268: "Parent	MageTypesX		FireMage	ModelName	fmage		 	 	 	400	 	 	 	 	 	 	 	 	 	 	 	 
Obj269: "Parent	FireMage		FireMage2	ModelName	fmage2		 	 	 	402	 	 	 	 	 	 	 	 	 	 	 	 
Obj270: "Parent	FireMage		FireMage3	ModelName	fmage3		 	 	 	403	 	 	 	 	 	 	 	 	 	 	 	 
Obj271: "Parent	FireMage		FireMage4	ModelName	fmage4		 	 	 	404	 	 	 	 	 	 	 	 	 	 	 	 
Obj272: "Parent	FireMage		FireMage5	ModelName	spemage2		 	 	 	436	 	 	 	 	 	 	 	 	 	 	 	 
Obj273: "Parent	FireMage		FireMageNovice	ModelName	nfadept		 	 	 	407	 	 	 	 	 	 	 	 	 	 	 	 
Obj274: "Parent	MageTypesX		WaterMage	ModelName	wmage		 	 	 	412	 	 	 	 	 	 	 	 	 	 	 	 
Obj275: "Parent	WaterMage		WaterMage2	ModelName	wmage2		 	 	 	413	 	 	 	 	 	 	 	 	 	 	 	 
Obj276: "Parent	WaterMage		WaterMage3	ModelName	wmage3		 	 	 	414	 	 	 	 	 	 	 	 	 	 	 	 
Obj277: "Parent	WaterMage		WaterMage4	ModelName	wmage4		 	 	 	415	 	 	 	 	 	 	 	 	 	 	 	 
Obj278: "Parent	WaterMage		WaterMage5	ModelName	spemage4		 	 	 	437	 	 	 	 	 	 	 	 	 	 	 	 
